sensor
389
594
593
826
697
591
592
694
394
392
692
691
391
393
698
742
667
518
610
703
684
377
827
395
71
682
699
695
681
704
609
642
369
705
237
7
775
311
677
613
688
333
533
641
696
680
607
706
606
245
825
818
687
539
316
502
817
325
659
390
319
130
701
464
690
662
101
715
105
616
331
365
668
232
439
683
327
498
554
746
724
332
375
625
515
621
675
801
638
819
632
646
605
828
716
468
702
732
499
674
