,0
0,71.35264633308017
1,108.41792073341573
2,77.01233356453811
3,76.8626670334398
4,83.72767127995431
5,84.540623793991
6,91.58343179465051
7,97.61211673851221
8,96.5449626651314
9,88.50591394796542
10,98.26445805783803
11,88.90975883925168
12,93.42973177890194
13,88.10189078445917
14,92.48620369274506
15,79.13554339076325
16,105.73226128257193
17,84.81123775878652
18,99.99969658256774
19,83.63800775937469
20,97.93955385337229
21,97.03993625685113
22,73.87561105874542
23,92.37075039981993
24,99.01018060365506
25,93.79202699504827
26,112.66177193031355
27,77.4158250810248
28,99.79816692505389
29,117.34701116855344
30,61.871054233118365
31,82.00145821362835
32,79.9576047826869
33,76.16339704055623
34,97.61202199763218
35,97.52067982893864
36,72.42938539354904
37,67.8340134444601
38,85.17337348119186
39,92.21778101770902
40,94.8228729531393
41,67.91056450892405
42,83.70981932690897
43,76.21473605156731
44,89.73675161830778
45,87.67805616045209
46,101.83204113830338
47,77.36774276052093
48,61.80696325906823
49,80.6693925332433
50,84.4712159986425
51,88.62351245117327
52,72.09997165356913
53,91.7267483896792
54,79.25996887220035
55,81.68448724058196
56,69.68854876714614
57,73.9097063393587
58,89.75467561045757
59,80.30185746953123
60,75.91509528400705
61,72.32587839664781
62,68.62925864992084
63,71.36641740387623
64,108.13688582340312
65,104.25090150140815
66,84.1951409334011
67,100.13231944967482
68,93.97469695328446
69,95.65309955432144
70,91.61450810578374
71,103.29099702378542
72,109.88598098166511
73,105.66257558730494
74,111.15961813232904
75,102.68043158100791
76,106.17199810317817
77,81.10068333246821
78,96.88560636369583
79,104.46480874205683
80,88.86695941114297
81,97.92287976602567
82,93.69399426309901
83,92.09236918403963
84,94.21483713024142
85,77.06557455768741
86,89.98047058224408
87,100.9543296357001
88,100.40593954853432
89,96.12328902775202
90,98.0912247915514
91,80.78517261562438
92,62.16046850123937
93,91.25990189505289
94,96.39954722279748
95,86.84374621357155
96,83.99531171855523
97,81.84377598071151
98,81.79445330654708
99,88.34959630267569
100,80.38615777252328
101,94.60572184516529
102,92.30826375206631
103,93.40311301224804
104,98.07812235618536
105,76.61918902953343
106,78.84773175932814
107,96.93145534899509
108,95.89397756937188
109,88.09523681594803
110,84.61423065372178
111,5.186531341373444
112,104.40592136986926
113,87.47037109596086
114,113.78184855751293
115,98.88029406389771
116,81.17854394732956
117,119.91048641838357
118,121.22763001765375
119,109.28310182522446
120,85.0969011710132
121,75.14497359608154
122,104.35320923569834
123,81.14542818543555
124,71.01413759612751
125,93.29214398181641
126,76.3295592983762
127,82.52101007288056
128,87.60584847414509
129,112.1007958813334
130,108.14191271325895
131,96.72402843292508
132,86.64535081810476
133,70.75838607513954
134,94.5227844288946
135,74.7005333781386
136,98.17665628891558
137,87.68316749894808
138,88.61083120697904
139,85.75002617644218
140,89.50381997613823
141,90.59657979913692
142,89.6379824981412
143,78.12223541690962
144,84.76229051801215
145,89.51021944520677
146,88.76182310021565
147,106.76381934064274
148,96.68343158289478
149,93.43910592413879
150,79.48884424613453
151,71.86580863249783
152,83.20781465062754
153,73.90915120350539
154,85.70270683715817
155,86.12630197508552
156,72.39408321768776
157,86.35362938799926
158,85.12067646628147
159,80.44901459572986
160,87.02724095118913
161,89.2113521918668
162,92.37850242950331
163,60.340625174290494
164,88.94385130151262
165,92.96300550044202
166,108.59941522344154
167,88.50332901414963
168,71.29999742862962
169,75.92952514002535
170,105.0656764195914
171,77.53311193202047
172,87.81785130066329
173,85.54352191245277
174,102.12216032302874
175,72.74549323568816
176,97.49277509990976
177,94.31985946950661
178,91.6127539060178
179,5.316810208465387
180,100.33635855535832
181,88.61557480178479
182,78.04151790037619
183,101.86943138981945
184,93.35132902076094
185,100.83684663584543
186,86.59109495430695
187,93.46162812601295
188,97.65069452209067
189,89.23483659722271
190,97.43163414441088
191,85.32238737556872
192,101.13041355883378
193,99.31965746597022
194,112.87492401674777
195,90.08694356623458
196,75.11094522707131
197,104.42023368770504
198,114.36467002504699
199,102.08025448861054
200,108.24555404456774
201,87.39171639907761
202,117.25375947668293
203,80.46403660256723
204,102.24312082813618
205,77.05790648483645
206,79.64586125480268
207,97.42346320781215
208,85.58690767766743
209,90.76854286420115
210,82.44030788495512
211,108.42807794243852
212,88.57065968885223
213,112.60594122496829
214,88.61898653103286
215,84.17025234174724
216,113.54895860721103
217,125.32563056154522
218,88.486554665105
219,115.67000342117616
220,84.07987431174425
221,87.50454875166743
222,102.11366940695369
223,98.60321946822162
224,112.96792116385764
225,88.35002465639357
226,96.23668608460297
227,104.45187181293505
228,113.86388118931097
229,77.27882002022126
230,78.2541460935373
231,120.12901955746892
232,115.32154238202641
233,82.4112340405941
234,111.73290625797891
235,112.37587574792458
236,100.76138945567615
237,91.87780622288935
238,106.61906302126842
239,90.70341930615011
240,96.70574773352799
241,71.4544011134254
242,104.66624212951098
243,87.82347346915742
244,92.47552414613023
245,85.70662549970892
246,99.03267926470511
247,101.58875352467294
248,113.07128983133265
249,99.77211130796316
250,93.65908339288497
251,110.87099918116918
252,96.31422435226631
253,89.86371661163395
254,118.1670956034469
255,79.47185956814002
256,101.86267652649545
257,75.84755733052401
