,22,26,28,38,55,58,65,70,75,79,92,102,109,114,119,128,147,148,153,164,190,195,205,206,210,211,244,252,286,303,306,313,317,327,332,339,359,372,389,390,391,392,393,394,395
0,0.0013522516,0.0016411118,0.0001801212,0.0007296464,0.0037381044,0.00034161867,0.0012030782,0.0019489835,0.00042072305,0.0010592558,0.0007579362,0.0021329906,0.00028486756,0.00033427222,0.0032000004,0.00033545567,0.00397603,0.00022187145,0.00040992914,0.0009300079,0.00018592937,0.0013885383,0.00064290594,0.00054487685,0.00078636524,0.0013752702,0.002084565,0.0032037264,0.0,0.00072819553,0.0007444472,0.00038585323,0.0009392683,0.0032000004,0.0013495872,0.00036296452,0.0019476318,0.0016446706,0.0026441498,0.00051885593,0.00047111267,0.00017142885,0.000615334,0.0013498081,0.00045738005
1,0.0015060835,0.002654512,0.0007912759,0.0015138641,0.0031927356,0.0013271791,0.0025504578,0.0029274935,0.0015080505,0.001398204,0.0019784078,0.003198022,0.0012566312,0.0015739225,0.0032000002,0.0011316587,0.0039982973,0.000756442,0.0015997718,0.0017521365,0.0012255264,0.0021436769,0.0015862754,0.0017001675,0.0015742527,0.0029653693,0.0031810405,0.003931325,0.0,0.0007315577,0.00070418656,0.0004499847,0.00090127956,0.003197646,0.0013154476,0.0008714953,0.0033154802,0.0032000002,0.0027113906,0.0005652688,0.00047319062,0.00018468422,0.00076477916,0.0023150756,0.00045664524
2,0.0008592183,0.0035928546,0.0015711932,0.0015980947,0.0031909791,0.001569155,0.003504451,0.003674681,0.001531061,0.0006669991,0.0030055814,0.0035781078,0.0015892239,0.0015945892,0.0032000002,0.0014753949,0.0039982884,0.0015198637,0.0015997806,0.0023529283,0.0012857775,0.003017658,0.0026389621,0.0027804612,0.0015994598,0.0033983397,0.003720732,0.003968257,0.0,0.0013346351,0.0007444544,0.0006869221,0.0011351516,0.0035736796,0.0012820429,0.0019970092,0.0031513777,0.0035844208,0.002816442,0.0005652688,0.00064955873,0.00025158454,0.000968232,0.0031142167,0.0005494157
3,0.0005899506,0.0037868589,0.0023033095,0.0015981336,0.0031937105,0.0015758709,0.0037709093,0.0038150074,0.0014901188,0.00056275347,0.0033993113,0.0037798907,0.0015934776,0.0015946743,0.0032000002,0.0015592248,0.0039983196,0.0015806487,0.0015997825,0.0031022686,0.001255071,0.0036359825,0.0027918487,0.0033102725,0.0015994646,0.003655998,0.0038414875,0.003968881,0.0,0.0025095865,0.0008109651,0.00085141096,0.001851111,0.003777935,0.0027771883,0.0028493886,0.0031479313,0.003784044,0.00291001,0.0005652688,0.0006641518,0.00028629325,0.0010573217,0.0033317497,0.00057476136
4,0.0005583567,0.0038493304,0.003011109,0.0018180569,0.0034214966,0.0016617524,0.0038394732,0.0038667717,0.0018360183,0.0005601449,0.0036279503,0.0038451273,0.001777644,0.0017849467,0.0032000002,0.0016560487,0.0039983317,0.0016853393,0.0018330769,0.0036380547,0.0013661023,0.0038195874,0.0034716083,0.0035792736,0.0018294839,0.0037828393,0.0038851325,0.0039691455,0.0,0.0034163892,0.0016829285,0.0009788511,0.002984142,0.0038447406,0.003575754,0.0032414903,0.0032749218,0.003847851,0.0029867736,0.0005652688,0.0006641518,0.00030077333,0.0011157151,0.0034320587,0.00057476136
5,0.0005562361,0.0038560443,0.0034339328,0.0019912738,0.0036026088,0.0018682601,0.0038473376,0.0038682201,0.0020004022,0.00055834104,0.0037553231,0.00399623,0.0019699433,0.0019730788,0.00283129,0.00184907,0.0039983336,0.0019012279,0.0019989782,0.0037032762,0.0011534746,0.0037779326,0.0036009292,0.0037175647,0.00199725,0.003905441,0.0038792666,0.003969192,0.0,0.0035306085,0.00227204,0.0014163991,0.0032808846,0.004,0.0035657103,0.0034569623,0.0034799536,0.004,0.0030630557,0.0005652688,0.0006641518,0.00030077333,0.0011798561,0.0034949428,0.00057476136
6,0.00055627734,0.0038603898,0.0035929647,0.0022256235,0.0037255487,0.002056799,0.0038536259,0.0038725908,0.0022397356,0.0005584513,0.0038472102,0.003997751,0.00219728,0.0021996005,0.002762841,0.0020582622,0.0039983382,0.002100873,0.002237525,0.0037364515,0.00058618083,0.0037840172,0.0037548589,0.0038181888,0.0022348703,0.0039564962,0.0038816165,0.0039692745,0.0,0.0036843729,0.0029240965,0.00247132,0.0035852068,0.004,0.0037646578,0.0035444468,0.003637953,0.004,0.0030788009,0.0005652688,0.0006641518,0.00030077333,0.0012319726,0.0035922802,0.00057476136
7,0.0005537721,0.0038632446,0.003605285,0.0025469288,0.003789559,0.0023566957,0.0038544238,0.0038768894,0.0025626454,0.0005569971,0.003883721,0.0039977464,0.0025085725,0.0025156275,0.0018469802,0.002328919,0.0039983317,0.0024109203,0.002560089,0.003747897,0.0005219549,0.0037893804,0.0037965542,0.0038581353,0.002557003,0.0039595156,0.0038895046,0.0039691874,0.0,0.003771264,0.0032476322,0.002977646,0.0036322162,0.004,0.003785691,0.0036847186,0.003713447,0.004,0.0030788009,0.0005652688,0.00067175063,0.00030077333,0.0013221868,0.0036572288,0.00057476136
8,0.003794484,0.0038742241,0.003564473,0.003533396,0.0038188293,0.0026958075,0.0038777383,0.0038892124,0.0035903056,0.0017680998,0.0039077364,0.003997879,0.003508768,0.002928064,0.00234937,0.0028313915,0.0039985864,0.0034402902,0.0033304712,0.003752129,0.0005160436,0.0038213097,0.0038877397,0.0038780675,0.0035596155,0.003962601,0.0038970432,0.0039754375,0.0,0.0037767559,0.0032963676,0.0033027658,0.003369188,0.004,0.0038662467,0.0037951474,0.0037173477,0.004,0.0030788009,0.0005650023,0.0015040712,0.00030077333,0.0014846054,0.0037003658,0.00094757136
